physio_region,total_fires,mean_density,mean_rare_veg
Central Coast,2356,0.14885859708100962,61.19255172740988
Central Valley,1223,0.025525667565223398,99.77806472602087
East Slope Cascades–Sierra,2009,0.04245432730776353,99.98519911209569
Great Basin,23,0.0227533151759312,99.96297640055658
North Coast Interior,3304,0.0858460379212584,99.63022185946187
North Coast Redwood,741,0.0451576221045338,97.41415128827028
SoCal Desert,493,0.006375976721202367,99.99493338799472
SoCal Mountains,7555,0.19206665785814403,99.98568230939456
West Slope Cascades–Sierra,6745,0.08855272111278799,99.99403742653863
